epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,97.4312,0.62465,0.59743,0.84867,0.93719,0.62994,0.6,0.56645,0.45276,0.97216,0.46091,0.68388,0.44505,1.04609,1.82472,1.0718,1.20542,0.0001684,0.0001684,0.0001684
86,98.454,0.59017,0.79422,0.81262,0.91792,0.62994,0.6,0.56645,0.45276,0.97216,0.46091,0.68388,0.44505,1.04609,1.82472,1.0718,1.20542,0.0001585,0.0001585,0.0001585
87,99.6042,0.6323,0.59053,0.86853,0.94931,0.62777,0.6,0.57378,0.45625,0.96784,0.46101,0.67722,0.45364,1.04846,1.78972,1.07472,1.21604,0.0001486,0.0001486,0.0001486
88,100.689,0.57109,0.58679,0.88712,0.94606,0.62777,0.6,0.57378,0.45625,0.96784,0.46101,0.67722,0.45364,1.04846,1.78972,1.07472,1.21604,0.0001387,0.0001387,0.0001387
89,101.735,0.54341,0.57103,0.81272,0.9214,0.63664,0.6,0.59247,0.46114,0.94325,0.4625,0.70055,0.46532,1.03915,1.80094,1.05838,1.22399,0.0001288,0.0001288,0.0001288
90,105.176,0.60478,0.54185,0.87067,0.95094,0.63664,0.6,0.59247,0.46114,0.94325,0.4625,0.70055,0.46532,1.03915,1.80094,1.05838,1.22399,0.0001189,0.0001189,0.0001189
91,114.098,0.64979,0.456,1.02745,0.98796,0.64297,0.6,0.57507,0.44279,0.90069,0.4625,0.65638,0.44897,1.042,1.96381,1.07103,1.2297,0.000109,0.000109,0.000109
92,115.861,0.56882,0.46605,0.95351,0.92041,0.64297,0.6,0.57507,0.44279,0.90069,0.4625,0.65638,0.44897,1.042,1.96381,1.07103,1.2297,9.91e-05,9.91e-05,9.91e-05
93,118.739,0.68392,0.47185,1.07766,0.9536,0.42636,0.6,0.55418,0.42555,0.88383,0.4625,0.64188,0.43841,1.05633,1.99717,1.08368,1.23205,8.92e-05,8.92e-05,8.92e-05
94,119.797,0.60866,0.52765,1.01109,0.97204,0.42636,0.6,0.55418,0.42555,0.88383,0.4625,0.64188,0.43841,1.05633,1.99717,1.08368,1.23205,7.93e-05,7.93e-05,7.93e-05
95,121.064,0.62571,0.48091,1.02978,0.95076,0.37604,0.5,0.54566,0.42333,0.8658,0.4573,0.63558,0.44043,1.06461,2.10689,1.0906,1.23181,6.94e-05,6.94e-05,6.94e-05
96,123.221,0.52901,0.424,0.93505,0.9295,0.37604,0.5,0.54566,0.42333,0.8658,0.4573,0.63558,0.44043,1.06461,2.10689,1.0906,1.23181,5.95e-05,5.95e-05,5.95e-05
97,124.346,0.50676,0.4584,0.89048,0.93088,0.35809,0.5,0.53148,0.41741,0.85305,0.46198,0.58057,0.4192,1.06418,2.17055,1.11298,1.22379,4.96e-05,4.96e-05,4.96e-05
98,126.037,0.48996,0.42901,0.80365,0.90177,0.35809,0.5,0.53148,0.41741,0.85305,0.46198,0.58057,0.4192,1.06418,2.17055,1.11298,1.22379,3.97e-05,3.97e-05,3.97e-05
99,127.14,0.52011,0.4569,0.87025,0.93036,0.35756,0.5,0.53629,0.41529,0.85272,0.4625,0.58533,0.41322,1.06872,2.19059,1.11917,1.21998,2.98e-05,2.98e-05,2.98e-05
100,129.357,0.69435,0.73611,1.44811,1.05823,0.35756,0.5,0.53629,0.41529,0.85272,0.4625,0.58533,0.41322,1.06872,2.19059,1.11917,1.21998,1.99e-05,1.99e-05,1.99e-05
